timestamp, index, pstate, utilization.gpu [%], utilization.memory [%], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active, clocks_event_reasons.gpu_idle, clocks_event_reasons.sw_power_cap, clocks_event_reasons.sw_thermal_slowdown, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.hw_power_brake_slowdown, clocks_event_reasons.sync_boost
2026/02/07 22:28:19.989, 1, P0, 100 %, 29 %, 1950 MHz, 3996 MHz, 873.04 W, 65, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:20.990, 1, P0, 100 %, 29 %, 1950 MHz, 3996 MHz, 944.29 W, 64, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:21.990, 1, P0, 100 %, 14 %, 1950 MHz, 3996 MHz, 920.83 W, 63, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:22.990, 1, P0, 100 %, 14 %, 1950 MHz, 3996 MHz, 862.86 W, 62, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:23.990, 1, P0, 100 %, 29 %, 1950 MHz, 3996 MHz, 940.84 W, 64, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:24.990, 1, P0, 100 %, 29 %, 1950 MHz, 3996 MHz, 954.28 W, 65, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:25.990, 1, P0, 99 %, 19 %, 1312 MHz, 3996 MHz, 961.82 W, 69, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:26.991, 1, P0, 99 %, 18 %, 1260 MHz, 3996 MHz, 1184.91 W, 71, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:27.991, 1, P0, 0 %, 0 %, 2062 MHz, 3996 MHz, 1050.89 W, 61, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:28.991, 1, P0, 0 %, 0 %, 2062 MHz, 3996 MHz, 229.83 W, 51, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:29.991, 1, P0, 0 %, 0 %, 1980 MHz, 3996 MHz, 225.93 W, 50, 0x0000000000000001, Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
